decision_id,decision_type,action,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,inclusion_reason,exclusion_reason,evidence_anchor,source_url,query_date,decision_owner,decision_date,decision_status,double_count_key,notes
h1-include-0001,manual_include,include,issuer,issuer:TW:1101,issuer:TW:1101,-,-,-,台泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1101,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1101,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0002,manual_include,include,issuer,issuer:TW:1102,issuer:TW:1102,-,-,-,亞泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1102,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1102,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0003,manual_include,include,issuer,issuer:TW:1103,issuer:TW:1103,-,-,-,嘉泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1103,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1103,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0004,manual_include,include,issuer,issuer:TW:1104,issuer:TW:1104,-,-,-,環泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1104,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1104,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0005,manual_include,include,issuer,issuer:TW:1108,issuer:TW:1108,-,-,-,幸福,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1108,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1108,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0006,manual_include,include,issuer,issuer:TW:1109,issuer:TW:1109,-,-,-,信大,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1109,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1109,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0007,manual_include,include,issuer,issuer:TW:1110,issuer:TW:1110,-,-,-,東泥,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1110,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1110,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0008,manual_include,include,issuer,issuer:TW:1201,issuer:TW:1201,-,-,-,味全,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1201,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1201,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0009,manual_include,include,issuer,issuer:TW:1203,issuer:TW:1203,-,-,-,味王,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1203,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1203,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0010,manual_include,include,issuer,issuer:TW:1210,issuer:TW:1210,-,-,-,大成,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1210,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1210,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0011,manual_include,include,issuer,issuer:TW:1213,issuer:TW:1213,-,-,-,大飲,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1213,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1213,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-0012,manual_include,include,issuer,issuer:TW:1215,issuer:TW:1215,-,-,-,卜蜂,L2,TWSE OpenAPI 上市公司基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:1215,https://openapi.twse.com.tw/v1/opendata/t187ap03_L,2026-08-28,user,2026-08-28,已裁决,l2:TWSE:1215,H1 人闸批准；仅在本行 product_scope 内有效。
